brand,title,start_time,distance,volume,gear,tag,price
奔驰, GLE级 2018款 GLE 400 4MATIC 臻藏版,2018年,2.4万公里,3.0升,自动,,69.8
玛莎拉蒂, Ghibli 2017款 3.0T 标准版,2018年,1.5万公里,3.0升,自动,高配,72.5
林肯, 大陆 2017款 3.0T 四驱尊耀版,2017年,3.71万公里,3.0升,自动,,36.88
日产, 奇骏 2010款 2.5L CVT豪华版 4WD,2011年,9万公里,2.5升,自动,,8.3
奔驰, GLK级 2013款 改款 GLK 300 4MATIC 时尚型,2014年,8.9万公里,3.0升,自动,,23.5
路虎, 揽胜 2018款 3.0 V6 SC Vogue 传世版,2018年,3.5万公里,3.0升,自动,,116.8
奔驰, S级 2006款 S350 3.5 手自一体 V6 豪华型,2006年,26.8万公里,3.5升,自动,,14.8
开瑞, 优劲EV 2018款 优劲EV 舒适型箱货,2018年,0.2万公里,纯电动,自动,,5.8
保时捷, Panamera 2017款 Panamera 4 Sport Turismo 3.0T,2018年,1.1万公里,3.0升,自动,,115.6
路虎, 揽胜 2018款 3.0 V6 SC Vogue 传世加长版,2018年,2.48万公里,3.0升,自动,,132.8
奔驰, C级 2015款 改款 C 180 L 运动型,2015年,5.9万公里,1.6升,自动,,21.7
保时捷, Cayenne 2019款 Coupé 3.0T,2019年,0.14万公里,3.0升,自动,,125.8
奔驰, C级(进口) 2017款 改款 C 200 轿跑版,2018年,2.05万公里,2.0升,自动,,32.2
大众, 迈腾 2012款 改款 1.8TSI 领先型,2013,5.68万公里,1.8升,自动,,15
大众, 捷达 2015款 1.6L 手动舒适型,2016,7.87万公里,1.6升,手动,,10.5
奔驰, AMG 2017款 AMG GLE 43 4MATIC 轿跑SUV,2018年,3.5万公里,3.0升,自动,,72.8
WEY, VV7 2017款 VV7c 旗舰型,2018年,1万公里,2.0升,自动,,13.5
雷克萨斯, LS 2018款 LS 500h 豪华版,2018年,0.34万公里,3.5升,自动,,93.8
大众, POLO 2007款 1.4 手动 时尚运动版,2007年,10万公里,1.4升,手动,,1.58
丰田, 陆地巡洋舰(进口) 2014款 4.0 自动 顶配 四驱,2016年,9万公里,4.0升,自动,高配,54.2
奔驰, CLA级 2014款 CLA 260 4MATIC,2014年,6.5万公里,2.0升,自动,高配,19.5
道奇, 公羊 2011款 5.7 手自一体 1500 Laramie Longhorn,2012年,8.7万公里,5.7升,自动,高配,22
别克, GL8 2004款 3.0L CT2 舒适版,2004年,14万公里,3.0升,自动,,0.98
奔驰, G级 2013款 G 500,2013年,6.6万公里,5.5升,自动,高配,88.88
